Date,Open,High,Low,Close,Volume
2018-02-25 11:00:00,840.09,844.73,834.6,837.51,1068.11
2018-02-25 10:00:00,838.3,842.24,834.99,840.09,429.14
2018-02-25 09:00:00,837.12,840.0,833.0,838.3,1114.86
2018-02-25 08:00:00,843.13,845.49,834.69,837.12,1209.46
2018-02-25 07:00:00,844.7,848.8,840.99,843.13,863.09
2018-02-25 06:00:00,842.19,849.26,842.15,844.7,1635.5
2018-02-25 05:00:00,838.76,843.74,836.1,842.19,1398.25
2018-02-25 04:00:00,833.24,841.0,833.24,838.76,1602.2
2018-02-25 03:00:00,834.76,834.76,825.0,833.24,1335.53
2018-02-25 02:00:00,839.86,840.0,833.01,834.76,2452.48
